0  9.675215203990167e-06 0.75
1  1.3360686485142859 0.75
2  1.3360933727914173 0.75
3  1.41262834681975 0.75
4  1.413144035484479 0.75
5  1.4808797873117572 0.75
6  1.978592090286856 0.75
7  2.27179208180522 3.75
8  2.27181112978452 3.75
9  2.4652847209025 3.75
10  2.46529614969008 3.75
11  2.5604395219155474 0.75
12  2.5615891409370795 0.75
13  3.0808944046784723 0.75
14  3.39396922378799 3.75
