0 0.000 0.058 3.75
1 1.548 0.064 0.75
2 1.399 0.066 0.75
3 1.585 0.064 0.75
4 1.535 0.060 0.75
5 1.679 0.064 0.75
6 2.073 0.073 0.75
9 2.236 0.086 3.75    
10 2.250 0.068 3.75
