0  0.0000 0.0385 3.75
1  1.4354 0.0259 0.75
3  1.5280 0.0272 0.75
5  1.5728 0.0385 0.75
6  2.0164 0.0366 0.75
9  2.0749 0.0347 3.75
11 2.3157 0.0385 3.75
